playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,classification
cobbty01,Player,BBWAA,0.3664,117,1937,4189,0.5120, ,3.6000,1,5.0000,0,6507,410,479,444,24, ,31, ,Y
ruthba01,Player,BBWAA,0.3421,714,2217,2873,0.6898,0.6714,2.2770,4,1221.3333,488,4787,569, , , ,2,33, ,Y
wagneho01,Player,BBWAA,0.3274,101,1732,3415,0.4662, ,0.0000,0,8.3333,6,7930,6781,1,4,8, ,12, ,Y
mathech01,Player,BBWAA,0.2150,7,165,362,0.2714,0.6649,2.1330,28,4780.6668,2502,313,1506,164,176,14, ,15, ,Y
johnswa01,Player,BBWAA,0.2354,24,255,547,0.3421,0.5991,2.1668,34,5914.6667,3509,292,1352,529,432,23, ,33, ,Y
lajoina01,Player,BBWAA,0.3381,83,1599,3242,0.4666, , , , , ,8520,6686,377,309,25, ,5, ,N
speaktr01,Player,BBWAA,0.3447,117,1529,3514,0.5003, ,9.0000,0,1.0000,0,6935,462,617,520,26, ,27, ,N
youngcy01,Player,BBWAA,0.2105,18,290,623,0.2818,0.6179,2.6273,17,7354.6668,2803,251,2015,3,3,7, ,3, ,N
hornsro01,Player,BBWAA,0.3585,301,1584,2930,0.5765, , , , , ,4495,6842,701,812,76, ,27, ,N
cochrmi01,Player,BBWAA,0.3196,119,832,1652,0.4778, , , , , ,6414,840,348,250,14,2,28, ,N
sislege01,Player,BBWAA,0.3401,102,1175,2812,0.4682,0.4545,2.3514,3,111.0000,63,18914,1573,218,241,14, ,16, ,N
collied01,Player,BBWAA,0.3332,47,1300,3315,0.4290, , , , , ,6621,7716,174,160,16, ,29, ,N
colliji01,Player,BBWAA,0.2942,65,983,1999,0.4088, , , , , ,2434,3734,455,376,19, , , ,N
alexape01,Player,BBWAA,0.2088,11,163,378,0.2746,0.6420,2.5595,32,5189.9999,2198,189,1419, , , , ,21, ,N
gehrilo01,Player,BBWAA,0.3401,493,1995,2721,0.6324, , , , , ,19525,1087, , , ,7,25, ,N
bresnro01,Player,BBWAA,0.2794,26,530,1252,0.3771,0.8000,3.9338,0,50.3333,15,5138,1416,328,432,29, ,5, ,N
keelewi01,Player,BBWAA,0.3413,33,810,2932,0.4146, , , , , ,3170,363, , , , , , ,N
ansonca01,Player,Veterans,0.3326,97,2076,3418,0.4451,0.0000,4.5000,1,4.0000,1,22568,1612,1296,947,79, , , ,N
ewingbu01,Player,Veterans,0.3030,71,883,1625,0.4557,0.4000,3.4468,0,47.0000,23,6355,1782,489,395,35, , , ,N
keelewi01,Player,Veterans,0.3413,33,810,2932,0.4146, , , , , ,3170,363, , , , , , ,N
wadderu01,Player,BBWAA,0.1614,4,83,172,0.2186,0.5744,2.1609,5,2961.3335,2316,176,740, , , , ,2, ,N
youngcy01,Player,Veterans,0.2105,18,290,623,0.2818,0.6179,2.6273,17,7354.6668,2803,251,2015,3,3,7, ,3, ,N
delahed01,Player,Veterans,0.3459,101,1464,2596,0.5051, , , , , ,6071,1058, , , , , , ,N
foxxji01,Player,BBWAA,0.3253,534,1922,2646,0.6093,1.0000,1.5211,0,23.6667,11,17797,1562, , , ,9,22, ,N
walshed01,Player,BBWAA,0.1930,3,68,210,0.2546,0.6075,1.8156,34,2964.3334,1736,237,1208,1,2,6, ,8, ,N
mcgrajo01,Player,Veterans,0.3336,13,462,1309,0.4100, , , , , ,1408,2288,2763,1948,100, , , ,N
delahed01,Player,BBWAA,0.3459,101,1464,2596,0.5051, , , , , ,6071,1058, , , , , , ,N
radboch01,Player,Veterans,0.2352,9,259,585,0.2807,0.6131,2.6750,2,4535.3333,1830,443,1047, , , , ,1, ,N
traynpi01,Player,BBWAA,0.3196,58,1273,2416,0.4351, , , , , ,2390,3672,457,406,24,2,26, ,N
kellyki01,Player,Veterans,0.3076,69,950,1813,0.4382,0.5000,4.1387,0,45.6666,4,3572,1749,173,148,13, , , ,N
longhe01,Player,Veterans,0.2772,91,1055,2127,0.3826, , , , , ,4446,6334, , , , , , ,N
friscfr01,Player,BBWAA,0.3161,105,1244,2880,0.4321, , , , , ,4918,7170,1138,1078,73,3,15, ,N
grovele01,Player,BBWAA,0.1476,15,121,202,0.2075,0.6803,3.0581,55,3940.6666,2266,65,722, , , ,6,26, ,N
jennihu01,Player,Veterans,0.3114,18,840,1527,0.4056, , , , , ,5582,3449,1184,995,54, , , ,N
rusieam01,Player,Veterans,0.2474,8,176,428,0.3191,0.5847,3.0727,5,3769.6666,1934,200,881, , , , ,1, ,N
chaseha01,Player,BBWAA,0.2910,57,941,2158,0.3909, ,0.0000,0,0.3333,0,18346,1131,86,80,8, ,9, ,N
youngro01,Player,BBWAA,0.3222,42,592,1491,0.4407, , , , , ,2171,207, , , , ,5, ,N
clarkfr01,Player,Veterans,0.3119,67,1015,2672,0.4288, , , , , ,4807,266,1602,1181,72, ,6, ,N
terrybi01,Player,BBWAA,0.3412,154,1078,2193,0.5059, , , , , ,15999,1111,823,661,33,3,12, ,N
colliji01,Player,Veterans,0.2942,65,983,1999,0.4088, , , , , ,2434,3734,455,376,19, , , ,N
klingjo01,Player,BBWAA,0.2714,20,513,1151,0.3570, , , , , ,5571,1562,52,101,8, ,4, ,N
crigelo01,Player,BBWAA,0.2214,11,342,709,0.2898, , , , , ,4456,1348, , , , ,1, ,N
comisch01,Player,Veterans,0.2640,29,883,1530,0.3380,0.0000,0.7297,0,12.3333,6,13889,568,840,541,38, , , ,N
dennyje01,Player,Veterans,0.2600,74,667,1286,0.3837, ,9.0000,0,4.0000,1,2251,2693, , , , , , ,N
langebi01,Player,Veterans,0.3302,39,578,1055,0.4585, , , , , ,2108,387, , , , , , ,N
robinwi01,Player,Veterans,0.2735,18,722,1388,0.3460, , , , , ,5408,1467,1399,1398,93, , , ,N
stoveha01,Player,Veterans,0.2885,122,908,1771,0.4614, ,6.7500,0,9.3333,7,7521,329,63,75,12, , , ,N
wrighge01,Player,Veterans,0.3016,11,330,867,0.3993,0.0000,1.8000,0,5.0000,12,901,2092,59,25,1, , , ,N
brownmo01,Player,BBWAA,0.2056,2,74,235,0.2476,0.6477,2.0568,49,3172.3332,1375,173,843,50,63,8, ,4, ,N
eversjo01,Player,BBWAA,0.2703,12,538,1659,0.3342, , , , , ,3806,5215,180,192,24, ,7, ,N
clarkjo01,Player,Veterans,0.2188,24,232,432,0.3186,0.6482,2.8113,5,4536.3334,1978,239,1151, , , , ,1, ,N
wagneho01,Player,Veterans,0.3274,101,1732,3415,0.4662, ,0.0000,0,8.3333,6,7930,6781,1,4,8, ,12, ,N
chancfr01,Player,BBWAA,0.2963,20,596,1273,0.3935, , , , , ,10540,818,946,648,35, ,2, ,N
spaldal01,Player,Veterans,0.3131,2,327,613,0.3815,0.7956,2.1358,11,2890.6667,142,789,732,78,47,6, , , ,N
mcgrajo01,Player,BBWAA,0.3336,13,462,1309,0.4100, , , , , ,1408,2288,2763,1948,100, , , ,N
schalra01,Player,BBWAA,0.2535,11,594,1345,0.3157, , , , , ,7168,1811,102,125,10, ,5, ,N
simmoal01,Player,BBWAA,0.3342,307,1827,2927,0.5349, , , , , ,5000,169, , , ,3,23, ,N
barnero01,Player,Veterans,0.3591,6,350,859,0.4636, ,20.2505,0,1.3333,0,1303,1662, , , , , , ,N
bennech01,Player,Veterans,0.2560,55,533,978,0.3873, , , , , ,5326,1185, , , , , , ,N
duffyhu01,Player,Veterans,0.3241,106,1302,2282,0.4492, , , , , ,3445,345,535,671,47, ,1, ,N
nichoki01,Player,Veterans,0.2258,16,278,471,0.2996,0.6344,2.9547,17,5056.3333,1868,382,1034,80,88,11, , , ,N
wardjo01,Player,Veterans,0.2751,26,867,2104,0.3407,0.6165,2.1022,3,2461.6667,920,3223,5043,412,320,23, , , ,N
broutda01,Player,Veterans,0.3421,106,1296,2296,0.5191,0.0000,7.8261,0,23.0000,8,16422,667, , , , , , ,N
dunlafr01,Player,Veterans,0.2916,41,366,1159,0.4056, ,6.7499,1,2.6667,2,2912,3172,145,102,27, , , ,N
glassja01,Player,Veterans,0.2902,27,825,2040,0.3741, ,6.4286,0,7.0000,3,3163,5949,35,35,16, , , ,N
hamilbi01,Player,Veterans,0.3443,40,736,2158,0.4320, , , , , ,3444,182, , , , , , ,N
lajoina01,Player,Veterans,0.3381,83,1599,3242,0.4666, , , , , ,8520,6686,377,309,25, ,5, ,N
willine01,Player,Veterans,0.2546,64,667,1159,0.3841,0.5000,3.3429,3,35.0000,7,1589,3095, , , , , , ,N
bendech01,Player,BBWAA,0.2119,6,116,243,0.2799,0.6254,2.4551,34,3017.0000,1711,237,814, , , , ,3, ,N
jacksjo01,Player,BBWAA,0.3558,54,785,1772,0.5174, , , , , ,2646,198, , , , ,11, ,N
roushed01,Player,BBWAA,0.3227,68,981,2376,0.4459, , , , , ,4683,230, , , , ,14, ,N
allisdo01,Player,Veterans,0.2708,2,140,381,0.3198, ,1.8000,0,5.0000,0,1317,270,2,21,8, , , ,N
battijo01,Player,Veterans,0.2248,3,143,439,0.2811, ,3.5217,0,7.6667,1,908,1253,9,23,22, , , ,N
becklja01,Player,Veterans,0.3076,86,1575,2930,0.4353,0.0000,6.7500,0,4.0000,2,23721,1318, , , , , , ,N
bondto01,Player,Veterans,0.2385,0,174,471,0.2765,0.5894,2.3116,0,3628.6666,879,336,928,2,4,8, ,1, ,N
burkeje01,Player,Veterans,0.3384,75,952,2850,0.4464,0.2143,5.5610,0,123.0000,84,3966,309, , , , , , ,N
crigelo01,Player,Veterans,0.2214,11,342,709,0.2898, , , , , ,4456,1348, , , , ,1, ,N
dahlebi01,Player,Veterans,0.2721,84,1233,2457,0.3818, , , , , ,5353,8133,251,355,26, , , ,N
daubeja01,Player,Veterans,0.3031,56,722,2326,0.4006, , , , , ,19634,1128, , , , ,13, ,N
doyleja01,Player,Veterans,0.2991,26,968,1806,0.3853, , , , , ,11493,1489,40,40,20, , , ,N
keefeti01,Player,Veterans,0.1872,12,134,390,0.2698,0.6032,2.6246,2,5047.6666,2562,297,1079, , , , ,1, ,N
kilroma01,Player,Veterans,0.2222,1,103,236,0.2797,0.5146,3.4697,0,2435.6666,1170,184,610, , , , , , ,N
lathaar01,Player,Veterans,0.2687,27,563,1833,0.3414, , , , , ,2079,3655,0,3,11, , , ,N
lowebo01,Player,Veterans,0.2731,71,984,1929,0.3599, ,9.0000,0,1.0000,0,4222,4746,30,44,7, , , ,N
mcaleji01,Player,Veterans,0.2532,12,469,1007,0.3105, ,0.0000,0,0.3333,0,2468,155,735,889,65, , , ,N
mccarto01,Player,Veterans,0.2917,44,735,1496,0.3756,0.0000,4.9327,0,69.3333,21,2193,487,15,12,6, , , ,N
