playerID,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,classification
cobbty01,Player,3035,0.3664,117,1937,2246,4189,3053,724,295,892,0.4329654848555999,0.5120,3,0,0,NULL,3.6000,0,0,1,5.0000,0,2954,6507,410,113,933,479,444,4.0000,NULL,31,NULL,Y
ruthba01,Player,2503,0.3421,714,2217,2174,2873,1517,506,136,123,0.4739598210035228,0.6898,163,94,46,0.6714,2.2770,107,17,4,1221.3333,488,2436,4787,569,86,NULL,NULL,NULL,NULL,2,33,NULL,Y
wagneho01,Player,2792,0.3274,101,1732,1736,3415,2422,640,252,722,0.39095329050182326,0.4662,2,0,0,NULL,0.0000,0,0,0,8.3333,6,2775,7930,6781,963,5,1,4,8.0000,NULL,12,NULL,Y
mathech01,Player,646,0.2150,7,165,151,362,293,50,12,20,0.27242707760044027,0.2714,635,373,188,0.6649,2.1330,434,79,28,4780.6668,2502,642,313,1506,44,346,164,176,4.6667,NULL,15,NULL,Y
johnswa01,Player,933,0.2354,24,255,241,547,388,94,41,13,0.2738046587658357,0.3421,802,417,279,0.5991,2.1668,531,110,34,5914.6667,3509,815,292,1352,72,966,529,432,3.2857,NULL,33,NULL,Y
lajoina01,Player,2480,0.3381,83,1599,1504,3242,2339,657,163,380,0.380115245629456,0.4666,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2441,8520,6686,1211,700,377,309,4.1667,NULL,5,NULL,N
speaktr01,Player,2789,0.3447,117,1529,1882,3514,2383,792,222,432,0.4279475982532751,0.5003,1,0,0,NULL,9.0000,0,0,0,1.0000,0,2717,6935,462,159,1139,617,520,3.2500,NULL,27,NULL,N
youngcy01,Player,918,0.2105,18,290,325,623,483,87,35,29,0.23402163225172073,0.2818,906,511,316,0.6179,2.6273,749,76,17,7354.6668,2803,911,251,2015,41,6,3,3,7.0000,NULL,3,NULL,N
hornsro01,Player,2259,0.3585,301,1584,1579,2930,1919,541,169,135,0.43374014472405226,0.5765,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2164,4495,6842,1127,1530,701,812,5.0667,NULL,27,NULL,N
cochrmi01,Player,1482,0.3196,119,832,1041,1652,1136,333,64,64,0.41915772089182496,0.4778,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1452,6414,840,104,600,348,250,2.0000,2,28,NULL,N
