playerID,feature1,feature2,classification
cobbty01,3.7674,0.7400,Y
ruthba01,3.3552,0.8686,Y
wagneho01,3.7357,0.6218,Y
mathech01,2.6068,0.2337,Y
johnswa01,2.4909,0.2583,Y
speaktr01,3.6554,0.6748,N
youngcy01,3.2244,0.3540,N
sislege01,4.0229,0.6248,N
alexape01,2.5747,0.2191,N
bresnro01,3.0989,0.4716,N
ansonca01,4.0733,0.7911,N
ewingbu01,4.0783,0.8586,N
wadderu01,2.6000,0.1488,N
youngcy01,3.2244,0.3540,N
foxxji01,3.5106,0.7557,N
walshed01,2.3704,0.2026,N
radboch01,3.8086,0.4717,N
kellyki01,4.0509,0.9326,N
grovele01,2.2116,0.1922,N
rusieam01,3.5524,0.4292,N
chaseha01,3.8650,0.5107,N
comisch01,4.1698,0.7151,N
dennyje01,3.9984,0.5772,N
stoveha01,4.1306,1.0040,N
wrighge01,4.8646,1.1252,N
brownmo01,2.3185,0.1886,N
clarkjo01,3.6154,0.4652,N
wagneho01,3.7357,0.6218,N
spaldal01,4.7640,1.0146,N
barnero01,4.7936,1.3988,N
nichoki01,3.2142,0.4206,N
wardjo01,4.1901,0.7715,N
broutda01,4.0114,0.9103,N
dunlafr01,4.1181,0.7865,N
glassja01,4.0495,0.6699,N
willine01,3.7910,0.6736,N
bendech01,2.2623,0.2012,N
allisdo01,4.4245,0.7421,N
battijo01,4.0688,0.4750,N
becklja01,3.9925,0.6706,N
bondto01,4.0471,0.4365,N
burkeje01,4.0760,0.8325,N
keefeti01,3.3706,0.4013,N
kilroma01,3.2182,0.4939,N
lowebo01,3.8856,0.6221,N
mcaleji01,3.8990,0.6069,N
mccarto01,4.0220,0.8384,N
mcveyca01,4.7415,1.0472,N
paborch01,4.2059,0.5941,N
richaha01,4.2389,0.8415,N
tennefr02,3.8089,0.6409,N
vanhage01,4.0428,0.8261,N
wallabo01,3.6164,0.4436,N
whitede01,4.2462,0.7308,N
bradlbi01,3.7166,0.5161,N
marquru01,2.0653,0.1175,N
ruckena01,2.3958,0.1310,N
vanceda01,2.1968,0.1538,N
cummica01,4.3279,0.5992,N
richmle01,4.0558,0.6733,N
speaktr01,3.6554,0.6748,Y
youngcy01,3.2244,0.3540,Y
alexape01,2.5747,0.2191,N
sislege01,4.0229,0.6248,N
wadderu01,2.6000,0.1488,N
walshed01,2.3704,0.2026,N
bresnro01,3.0989,0.4716,N
brownmo01,2.3185,0.1886,N
planked01,2.5508,0.2063,N
chaseha01,3.8650,0.5107,N
bendech01,2.2623,0.2012,N
pennohe01,1.9581,0.1742,N
marquru01,2.0653,0.1175,N
woodjo02,2.8046,0.3822,N
mcginjo01,2.7191,0.2285,N
jossad01,2.7601,0.1554,N
ruckena01,2.3958,0.1310,N
vanceda01,2.1968,0.1538,N
adamsba01,2.1141,0.1639,N
donlimi01,3.6740,0.6378,N
hoopeha01,3.8047,0.6189,N
bradlbi01,3.7166,0.5161,N
