playerID,feature1,feature2
wadderu01,2.6,0.1488
alexape01,2.5747,0.2191
wilheho01,0.4037,0.0224
candito01,0.6615,0.0243
planked01,2.5508,0.2063
brechha01,2.0966,0.1495
ricesa01,3.8557,0.6298
wakefti01,0.1762,0.0063
erskica01,1.6333,0.1417
suttebr01,0.1543,0.0091
johnto01,1.1827,0.0565
kaatji01,1.246,0.1165
waltebu01,2.7497,0.3175
lyonste01,2.217,0.2298
grimebu01,2.4288,0.2484
smithle02,0.0626,0.002
dykesji01,3.5259,0.4855
altroni01,2.3913,0.2261
suttebr01,0.1543,0.0091
grovele01,2.2116,0.1922
kaatji01,1.246,0.1165
dinnebi01,2.741,0.2374
mcnalda01,1.72,0.1153
martipe01,3.4626,0.6341
altroni01,2.3913,0.2261
ferrewe01,2.146,0.3193
rowesc01,1.8513,0.2363
leonadu02,1.6469,0.0828
mcnalda01,1.72,0.1153
gomezle01,2.4565,0.1603
bedrost01,0.209,0.0041
welchbo01,1.1192,0.05
sislege01,4.0229,0.6248
lonboji01,1.8075,0.0962
fitzsfr01,2.2515,0.2183
vanceda01,2.1968,0.1538
deshaji01,1.4457,0.0504
faberre01,1.894,0.1463
grovele01,2.2116,0.1922
bunniji01,2.1215,0.1364
tidrodi01,0.1532,0.0097
chapmbe01,3.7729,0.6663
rogerst01,2.17,0.1158
raschvi01,2.2602,0.1673
ehmkeho01,2.352,0.1655
reussje01,1.6228,0.1125
deandi01,2.2062,0.2338
hardeme01,2.0599,0.1524
davisge01,3.8138,0.6499
brownke01,1.0102,0.0408
zachato01,2.0549,0.1447
youngcy01,3.2244,0.354
lemonbo01,1.9236,0.2407
smoltjo01,1.2898,0.1048
guidrro01,0.0,0.0105
kaatji01,1.246,0.1165
ellisdo01,1.2603,0.1082
fernasi01,1.7557,0.0912
erskica01,1.6333,0.1417
tennefr02,3.8089,0.6409
ruffire01,2.1961,0.2347
pizarju01,1.3266,0.1452
wallabo01,3.6164,0.4436
bunniji01,2.1215,0.1364
lyonste01,2.217,0.2298
conceda01,3.506,0.3991
shantbo01,0.9481,0.1038
