playerID,feature1,feature2
facero01,0.2274,0.0106
phillde01,2.5995,0.2546
roepr01,1.8619,0.1111
burdele01,1.518,0.1517
blylebe01,0.6452,0.0272
barrji01,1.0665,0.0582
ehmkeho01,2.352,0.1655
dykesji01,3.5259,0.4855
darkal01,3.9491,0.5821
lemonbo01,1.9236,0.2407
ricesa01,3.8557,0.6298
brechha01,2.0966,0.1495
suttebr01,0.1543,0.0091
hallabi01,1.6982,0.1311
welchmi01,3.632,0.4422
tewksbo01,1.2541,0.066
pennohe01,1.9581,0.1742
sislege01,4.0229,0.6248
rootch01,1.7184,0.1361
jossad01,2.7601,0.1554
bridgto01,2.3656,0.1958
newhoha01,2.0305,0.1443
fitzsfr01,2.2515,0.2183
kaatji01,1.246,0.1165
mcnalda01,1.72,0.1153
odoulle01,3.3649,0.6433
kaatji01,1.246,0.1165
bradlbi01,3.7166,0.5161
galvipu01,3.7592,0.3803
brownmo01,2.3185,0.1886
lemonbo01,1.9236,0.2407
ringji01,2.0895,0.1509
smithle02,0.0626,0.002
martipe01,3.4626,0.6341
schumha02,1.9911,0.2222
newsobo01,2.1954,0.1412
lewisdu01,3.6676,0.4195
burdele01,1.518,0.1517
blylebe01,0.6452,0.0272
perduhu01,1.8634,0.1242
dykesji01,3.5259,0.4855
chaseha01,3.865,0.5107
gomezle01,2.4565,0.1603
luquedo01,1.8658,0.1717
suttebr01,0.1543,0.0091
mcdowsa01,1.8042,0.0793
ruffire01,2.1961,0.2347
fonsele01,3.6329,0.5528
roepr01,1.8619,0.1111
fitzsfr01,2.2515,0.2183
grimebu01,2.4288,0.2484
tiantlu01,0.8953,0.0628
marquru01,2.0653,0.1175
newsobo01,2.1954,0.1412
keefeti01,3.3706,0.4013
hennemi01,0.0018,0.0
gossari01,0.0847,0.001
kaatji01,1.246,0.1165
sherdbi01,1.7486,0.1749
gomezle01,2.4565,0.1603
martipe01,3.4626,0.6341
morrija02,0.0018,0.007
sainjo01,1.7875,0.1594
vanceda01,2.1968,0.1538
kremera01,2.2233,0.1845
tobinji01,2.0101,0.2045
leibrch01,0.6777,0.0178
drysddo01,2.1371,0.1755
brownmo01,2.3185,0.1886
guidrro01,0.0,0.0105
rootch01,1.7184,0.1361
ruffire01,2.1961,0.2347
planked01,2.5508,0.2063
lyonste01,2.217,0.2298
vandejo01,1.7932,0.1518
perduhu01,1.8634,0.1242
adamsba01,2.1141,0.1639
scottja01,1.6667,0.1642
walshed01,2.3704,0.2026
sherdbi01,1.7486,0.1749
lolicmi01,1.3868,0.1064
mesajo01,0.002,0.001
clarkjo01,3.6154,0.4652
lopated01,2.4846,0.2437
gomezle01,2.4565,0.1603
clemero02,0.2525,0.0071
morrija02,0.0018,0.007
walshed01,2.3704,0.2026
lolicmi01,1.3868,0.1064
chesbja01,2.8066,0.2163
clemero02,0.2525,0.0071
burdele01,1.518,0.1517
brownmo01,2.3185,0.1886
paigesa01,0.6927,0.0112
lolicmi01,1.3868,0.1064
darkal01,3.9491,0.5821
faberre01,1.894,0.1463
gagneer01,0.2139,0.0124
spaldal01,4.764,1.0146
brechha01,2.0966,0.1495
wilheho01,0.4037,0.0224
martipe01,3.4626,0.6341
rommeed01,1.6292,0.1578
faberre01,1.894,0.1463
cirilje01,3.337,0.4947
roepr01,1.8619,0.1111
hoytwa01,1.9095,0.1424
rojasco01,3.4627,0.3919
valenfe01,1.9747,0.1181
foxxji01,3.5106,0.7557
perryga01,1.3672,0.061
vandejo01,1.7932,0.1518
bendech01,2.2623,0.2012
burdele01,1.518,0.1517
holtzke01,1.3311,0.0768
waltebu01,2.7497,0.3175
rusieam01,3.5524,0.4292
haddiha01,1.5028,0.1789
facero01,0.2274,0.0106
hoytwa01,1.9095,0.1424
nehfar01,1.972,0.194
lylesp01,0.0868,0.0089
grimebu01,2.4288,0.2484
chandsp01,2.5972,0.2512
dinnebi01,2.741,0.2374
colavro01,3.5323,0.5274
hoopeha01,3.8047,0.6189
lyonste01,2.217,0.2298
burdele01,1.518,0.1517
martipe01,3.4626,0.6341
darkal01,3.9491,0.5821
colboji01,0.1821,0.0
haineje01,2.0071,0.1357
perryga01,1.3672,0.061
ruffire01,2.1961,0.2347
larsedo01,1.2417,0.1354
lemonbo01,1.9236,0.2407
rueteki01,1.7822,0.1261
larsedo01,1.2417,0.1354
sislege01,4.0229,0.6248
lolicmi01,1.3868,0.1064
suttebr01,0.1543,0.0091
larsedo01,1.2417,0.1354
coombja01,2.413,0.2674
blylebe01,0.6452,0.0272
lyonste01,2.217,0.2298
conceda01,3.506,0.3991
derripa01,2.1762,0.1209
haineje01,2.0071,0.1357
clarkjo01,3.6154,0.4652
tennefr02,3.8089,0.6409
burdele01,1.518,0.1517
davisma01,0.2672,0.0256
tiantlu01,0.8953,0.0628
hardeme01,2.0599,0.1524
jossad01,2.7601,0.1554
newhoha01,2.0305,0.1443
jossad01,2.7601,0.1554
suttebr01,0.1543,0.0091
lolicmi01,1.3868,0.1064
conceda01,3.506,0.3991
morrija02,0.0018,0.007
