playerID,classification
facero01,N
phillde01,N
roepr01,N
burdele01,N
blylebe01,N
barrji01,N
ehmkeho01,N
dykesji01,N
darkal01,N
lemonbo01,N
ricesa01,N
brechha01,N
suttebr01,N
hallabi01,N
welchmi01,Y
tewksbo01,N
pennohe01,N
sislege01,N
rootch01,N
jossad01,N
bridgto01,N
newhoha01,N
fitzsfr01,N
kaatji01,N
mcnalda01,N
odoulle01,N
kaatji01,N
bradlbi01,N
galvipu01,Y
brownmo01,N
lemonbo01,N
ringji01,N
smithle02,N
martipe01,N
schumha02,N
newsobo01,N
lewisdu01,N
burdele01,N
blylebe01,N
perduhu01,N
dykesji01,N
chaseha01,N
gomezle01,N
luquedo01,N
suttebr01,N
mcdowsa01,N
ruffire01,N
fonsele01,N
roepr01,N
fitzsfr01,N
grimebu01,N
tiantlu01,N
marquru01,N
newsobo01,N
keefeti01,Y
hennemi01,N
gossari01,N
kaatji01,N
sherdbi01,N
gomezle01,N
martipe01,N
morrija02,N
sainjo01,N
vanceda01,N
kremera01,N
tobinji01,N
leibrch01,N
drysddo01,N
brownmo01,Y
guidrro01,N
rootch01,N
ruffire01,N
planked01,N
lyonste01,N
vandejo01,N
perduhu01,N
adamsba01,N
scottja01,N
walshed01,N
sherdbi01,N
lolicmi01,N
mesajo01,N
clarkjo01,N
lopated01,N
gomezle01,N
clemero02,N
morrija02,N
walshed01,N
lolicmi01,N
chesbja01,N
clemero02,N
burdele01,N
brownmo01,N
paigesa01,N
lolicmi01,N
darkal01,N
faberre01,N
gagneer01,N
spaldal01,N
brechha01,N
wilheho01,Y
martipe01,N
rommeed01,N
faberre01,N
cirilje01,N
roepr01,N
hoytwa01,N
rojasco01,N
valenfe01,N
foxxji01,N
perryga01,N
vandejo01,N
bendech01,N
burdele01,N
holtzke01,N
waltebu01,N
rusieam01,N
haddiha01,N
facero01,N
hoytwa01,N
nehfar01,N
lylesp01,N
grimebu01,N
chandsp01,N
dinnebi01,N
colavro01,N
hoopeha01,N
lyonste01,N
burdele01,N
martipe01,N
darkal01,N
colboji01,N
haineje01,N
perryga01,N
ruffire01,N
larsedo01,N
lemonbo01,N
rueteki01,N
larsedo01,N
sislege01,Y
lolicmi01,N
suttebr01,Y
larsedo01,N
coombja01,N
blylebe01,N
lyonste01,Y
conceda01,N
derripa01,N
haineje01,N
clarkjo01,N
tennefr02,N
burdele01,N
davisma01,N
tiantlu01,N
hardeme01,N
jossad01,N
newhoha01,N
jossad01,Y
suttebr01,N
lolicmi01,N
conceda01,N
morrija02,N
newhoha01,Y
ricesa01,N
coombja01,N
bibbyji01,N
orourji01,Y
adamsba01,N
rixeyep01,N
wallati01,N
mussimi01,N
kneppbo01,N
marquru01,N
newsobo01,N
ruckena01,N
lolicmi01,N
altroni01,N
bunniji01,N
newhoha01,N
moorete01,N
roberro01,N
mcgratu01,N
brechha01,N
leebi03,N
hoytwa01,N
jossad01,N
faberre01,N
siebeso01,N
whiteea01,N
mccarto01,N
foxxji01,N
crowdal01,N
mcgloly01,N
newcodo01,N
faberre01,N
turneji01,N
reynoal01,N
altroni01,N
lemonbo01,N
gomezle01,N
erskica01,N
smithle02,N
brownto05,N
nichoki01,N
reynoal01,N
rixeyep01,N
bunniji01,N
newcodo01,N
derripa01,N
wakefti01,N
whitede01,Y
groveor01,N
larsedo01,N
reynoal01,N
roberro01,N
conceda01,N
moorete01,N
lemonbo01,N
candejo01,N
langsma01,N
kaatji01,N
vanceda01,N
lopated01,N
coopemo01,N
wadderu01,N
bendech01,N
bedrost01,N
reynoal01,N
jossad01,N
mathech01,Y
lyonste01,N
